delta_emvr,delta_auroc,delta_aurc,delta_brier
-0.05255681818181818,0.01730626085518161,-0.01772259330215209,-0.01476036846652018
-0.05965909090909094,0.036182486939650094,-0.03512863493029583,-0.03294485357213006
-0.042613636363636354,0.008615880493398564,-0.01756568397524494,-0.01158601880700938
-0.04545454545454547,-0.00218237980123559,0.012462433171039455,-0.008391860180384347
-0.05397727272727276,0.03818773253517915,-0.031684982917755344,-0.03658112909828759
-0.025568181818181823,0.02539043110700101,-0.02723347070181925,-0.005728047260731395
-0.05681818181818177,0.029863706138650747,-0.023670402676831237,-0.02754243923173416
-0.035511363636363646,-0.0077294836455755744,-0.006005098992754698,0.004809800001348563
-0.02840909090909094,-0.017596440260361113,0.012749058861494356,0.0108916838881572
-0.04403409090909094,0.0072564961933133665,-0.004751105517918963,0.00888157488943292
-0.05539772727272729,0.03807207926541578,-0.023707450918316886,-0.030362180053589982
-0.049715909090909116,-0.0130371900826447,0.0019511055008198386,0.012784331785216652
-0.029829545454545414,0.03232005951519912,-0.03976083871775643,-0.03912298622343108
-0.04119318181818182,-0.0031794361937902416,-0.013791471681673328,-0.0013467772782402299
-0.044034090909090884,0.032181133885193614,-0.013480610152138806,-0.03267721817252034
-0.0625,0.03423829668541678,-0.027475550450644703,-0.02644970498337701
-0.045454545454545414,-0.016951638588550755,-0.0031276355600047823,0.019301943505515118
-0.042613636363636354,6.45674497407045e-05,-0.013509890545777725,-0.005892658393817363
-0.048295454545454586,0.00011368392767641122,0.012877134364851606,-0.007561649160355177
-0.03977272727272724,0.019710365616793846,-0.016575923764281686,-0.025496585299348895
-0.035511363636363646,-0.008317121629172752,0.008797987870139967,-0.010680447586155384
-0.06676136363636365,-0.018784748153680253,0.009244905910071544,0.010836324393648677
-0.078125,-0.028033591731266183,0.004671259140876793,0.028597434453592308
-0.05681818181818182,0.007145236162284907,-0.004408794613352862,-0.016005837166914838
-0.08664772727272724,0.006498773085367504,-0.02729700378563288,0.013525754024265979
-0.03267045454545453,0.013345707752850378,-0.02447675412953454,-0.0006834071050151325
-0.04829545454545453,0.023122374221320796,-0.023409087488919122,-0.025237930602567238
-0.048295454545454586,-0.006023909571581387,-0.003250018761028872,-0.0015216230597690505
-0.058238636363636354,-0.020291943656733702,0.01791625614668846,-0.0023047420703963817
-0.03125,0.02072562991942628,-0.010311444287701643,-0.024344660138497676
-0.03835227272727276,0.012987964416535824,-0.0034436198129254025,-0.015039261922176361
-0.04119318181818182,-0.005365150544522801,0.01048071550453561,0.009924315315781973
-0.058238636363636354,0.02721457506613756,-0.017374355273665765,-0.029460893945428335
-0.049715909090909116,-0.0022262511686528264,0.002652509212708265,-0.0057335955634920666
-0.05397727272727271,0.03453229974160199,-0.03156231620557248,-0.022868501171913802
-0.04545454545454547,-0.009127330548107437,0.0201785389156256,-0.008008569155654066
-0.06676136363636365,0.03030120576547546,-0.0316727857000485,-0.03724048286514087
-0.042613636363636354,-0.014586280056577028,0.01698711197607672,0.0019520251495820373
-0.05539772727272724,6.541077969646203e-05,0.020442270996067935,-0.02261887135464269
-0.03835227272727271,0.04934426314185514,-0.0429834557581516,-0.04214469660638692
-0.05681818181818182,0.022357597552910113,-0.029073389617517764,-0.024536578851602764
-0.044034090909090884,0.01090673361019856,-0.0035192386648815743,-0.01644949350854541
-0.028409090909090884,0.011948857032158089,-0.014443224134658261,-0.018563763177320947
-0.049715909090909116,0.021382978723404222,-0.019343201312345293,-0.004478261114409521
-0.04829545454545453,0.013260192333739762,-0.007732160568003965,-0.013899814937291033
-0.07102272727272729,-0.002685521536066382,-0.008145070305727142,-0.009177946390583558
-0.025568181818181823,0.050607696452254713,-0.03650423956293036,-0.04475981420294134
-0.07528409090909088,0.044020671834625436,-0.03684154846261267,-0.029242360545789603
-0.05397727272727276,0.0024277756186035226,-0.006221549935553017,-0.012565638829343528
-0.018465909090909116,0.01582633995827265,-0.002027794927810689,-0.01591161600622959
-0.046875,0.015467458677685952,-0.013576001031994966,-0.00048767502290902875
-0.05397727272727271,0.023009256389594834,-0.007943850623252424,-0.016416044386013573
-0.035511363636363646,0.011255165289256297,-0.00978553267250315,-0.013139647406351151
-0.059659090909090884,0.017988956098165643,-0.02294223383587951,-0.0270559120557049
-0.051136363636363646,0.025632301530821633,-0.01891646375508821,-0.02003539415467942
-0.03977272727272729,-0.006239798342940861,-0.008163425847603711,-0.0038120018960378643
-0.03693181818181818,0.030959889957583586,-0.028446958682600776,-0.023493346832652806
-0.05965909090909094,0.00013765447169244993,-0.004773738050088683,-0.017485308240745345
-0.021306818181818177,0.0067674028154461885,0.009697941514286157,-0.013006681540844445
-0.03835227272727276,-0.007367870225013062,0.012902077678098589,-0.0032333671149825105
-0.017045454545454586,0.027603503309904465,-0.01924495292414996,-0.016159139520704136
